Date,1y-3y Avg,3y-5y Avg,5y-10y Avg,Over 10y Avg,Price,3y-5y Avg_A,5y-10y Avg_A,Over 10y Avg_A,Price_A,WTI_oil_b
01/17/2021,,,,,52.2,,,,-12.559649635036493,-12.559649635036493
01/17/2022,1.2,1.53,1.73,2.03,83.69,0.4522445820433436,0.42394736842105263,0.325061919504644,18.930350364963502,18.930350364963502
01/18/2021,0.14,0.34,0.67,1.3,52.36,-0.7377554179566563,-0.6360526315789473,-0.40493808049535573,-12.399649635036496,-12.399649635036496
01/18/2022,1.25,1.61,1.82,2.1,85.43,0.5322445820433437,0.5139473684210527,0.3950619195046443,20.67035036496351,20.67035036496351
01/19/2020,,,,,59.27,,,,-5.489649635036493,-5.489649635036493
01/19/2021,0.14,0.33,0.67,1.31,52.98,-0.7477554179566563,-0.6360526315789473,-0.3949380804953557,-11.779649635036499,-11.779649635036499
01/19/2022,1.24,1.61,1.8,2.07,86.96,0.5322445820433437,0.4939473684210527,0.36506191950464406,22.200350364963498,22.200350364963498
01/20/2020,1.67,1.6,1.58,1.66,58.73,0.5222445820433437,0.2739473684210527,-0.04493808049535586,-6.029649635036499,-6.029649635036499
01/20/2021,0.16,0.35,0.69,1.33,53.24,-0.7277554179566564,-0.6160526315789474,-0.3749380804953557,-11.519649635036494,-11.519649635036494
01/20/2022,1.25,1.6,1.79,2.06,86.9,0.5222445820433437,0.4839473684210527,0.3550619195046443,22.14035036496351,22.14035036496351
01/21/2020,1.65,1.55,1.52,1.6,58.34,0.47224458204334363,0.21394736842105266,-0.10493808049535569,-6.419649635036492,-6.419649635036492
01/21/2021,0.17,0.36,0.73,1.36,53.13,-0.7177554179566564,-0.5760526315789474,-0.3449380804953557,-11.629649635036493,-11.629649635036493
01/21/2022,1.2,1.54,1.72,1.99,85.14,0.4622445820433436,0.4139473684210526,0.2850619195046442,20.380350364963505,20.380350364963505
01/22/2020,1.57,1.48,1.46,1.55,56.74,0.40224458204334357,0.1539473684210526,-0.15493808049535573,-8.019649635036494,-8.019649635036494
01/22/2021,0.17,0.36,0.71,1.34,52.27,-0.7177554179566564,-0.5960526315789474,-0.3649380804953557,-12.489649635036493,-12.489649635036493
01/23/2020,1.55,1.45,1.43,1.52,55.59,0.37224458204334354,0.12394736842105258,-0.18493808049535576,-9.169649635036492,-9.169649635036492
01/24/2020,1.53,1.41,1.38,1.47,54.19,0.3322445820433435,0.07394736842105254,-0.2349380804953558,-10.569649635036498,-10.569649635036498
01/24/2022,1.2,1.55,1.74,2.04,83.31,0.47224458204334363,0.43394736842105264,0.33506191950464426,18.550350364963506,18.550350364963506
01/25/2021,0.17,0.34,0.68,1.32,52.77,-0.7377554179566563,-0.6260526315789473,-0.3849380804953557,-11.989649635036493,-11.989649635036493
01/25/2022,1.21,1.56,1.74,2.05,85.6,0.48224458204334364,0.43394736842105264,0.34506191950464404,20.8403503649635,20.8403503649635
01/26/2021,0.16,0.34,0.68,1.33,52.61,-0.7377554179566563,-0.6260526315789473,-0.3749380804953557,-12.149649635036496,-12.149649635036496
01/26/2022,1.22,1.59,1.78,2.07,87.35,0.5122445820433437,0.4739473684210527,0.36506191950464406,22.5903503649635,22.5903503649635
01/27/2020,1.48,1.35,1.31,1.41,53.14,0.2722445820433437,0.003947368421052699,-0.29493808049535586,-11.619649635036495,-11.619649635036495
01/27/2021,0.15,0.33,0.67,1.32,52.85,-0.7477554179566563,-0.6360526315789473,-0.3849380804953557,-11.909649635036494,-11.909649635036494
01/27/2022,1.23,1.57,1.72,2.0,86.61,0.49224458204334365,0.4139473684210526,0.2950619195046442,21.850350364963504,21.850350364963504
01/28/2020,1.52,1.41,1.38,1.47,53.48,0.3322445820433435,0.07394736842105254,-0.2349380804953558,-11.279649635036499,-11.279649635036499
01/28/2021,0.15,0.33,0.68,1.35,52.34,-0.7477554179566563,-0.6260526315789473,-0.3549380804953557,-12.419649635036492,-12.419649635036492
01/28/2022,1.2,1.55,1.71,2.0,86.82,0.47224458204334363,0.4039473684210526,0.2950619195046442,22.060350364963497,22.060350364963497
01/29/2020,1.51,1.38,1.33,1.42,53.33,0.3022445820433435,0.023947368421052717,-0.28493808049535585,-11.429649635036498,-11.429649635036498
01/29/2021,0.14,0.34,0.7,1.35,52.2,-0.7377554179566563,-0.6060526315789474,-0.3549380804953557,-12.559649635036493,-12.559649635036493
01/30/2020,1.51,1.38,1.33,1.43,52.14,0.3022445820433435,0.023947368421052717,-0.27493808049535584,-12.619649635036495,-12.619649635036495
01/31/2020,1.47,1.33,1.28,1.39,51.56,0.25224458204334366,-0.026052631578947327,-0.3149380804953559,-13.199649635036494,-13.199649635036494
01/31/2022,1.23,1.56,1.72,2.05,88.15,0.48224458204334364,0.4139473684210526,0.34506191950464404,23.39035036496351,23.39035036496351
02/01/2021,0.14,0.33,0.69,1.35,53.55,-0.7477554179566563,-0.6160526315789474,-0.3549380804953557,-11.209649635036499,-11.209649635036499
02/01/2022,1.24,1.57,1.74,2.07,88.2,0.49224458204334365,0.43394736842105264,0.36506191950464406,23.440350364963507,23.440350364963507
02/02/2021,0.15,0.34,0.71,1.37,54.76,-0.7377554179566563,-0.5960526315789474,-0.3349380804953557,-9.999649635036498,-9.999649635036498
